Location,Country_work,Country,,change,other?
Israel,Israel,Israel,,,
Denmark,Canada,Denmark,,,
Florida,Canada,USA,,,
Newfoundland and Labrador,Canada,Canada,,,
Netherlands,Canada,Netherlands,,,
Newfoundland and Labrador,Canada,Canada,,,
Israel,Israel,Israel,,,
Ontario,Canada,Canada,,,
,Canada,,,,
Ontario,Canada,Canada,,,
Nova Scotia,Canada,Canada,,,
New Brunswick,Canada,Canada,,,
Nova Scotia,Canada,Canada,,,
,Canada,,,,
Quebec,Canada,Canada,,,
Ontario,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Maryland,United States,USA,,,
Newfoundland and Labrador,Canada,Canada,,,
Switzerland,Canada,Switzerland,,,
Nova Scotia,Canada,Canada,,,
Nova Scotia,Canada,Canada,,,
Texas,United States,USA,,,
New York,United States,USA,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
,Canada,,,,
Ontario,Canada,Canada,,,
Pennsylvania,United States,USA,,,
Belgium,Belgium,Belgium,,,
Ontario,Canada,Canada,,,
Texas,United States,USA,,,
Illinois,United States,USA,,,
Finland,Finland,Finland,,,
United Kingdom,United Kingdom,United Kingdom,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
United Kingdom,United Kingdom,United Kingdom,,,
New Brunswick,Canada,Canada,,,
Quebec,United Kingdom,Canada,,,
Netherlands,Finland,Netherlands,,,
,United States,,,,
Oregon,United States,USA,,,
Ontario,Canada,Canada,,,
Manitoba,Canada,Canada,,,
Belgium,Belgium,Belgium,,,
Newfoundland and Labrador,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
United Kingdom,United Kingdom,United Kingdom,,,
Ohio,United States,USA,,,
Quebec,Canada,Canada,,,
Yukon Territory,Canada,Canada,,,
Ontario,Canada,Canada,,,
Nova Scotia,Canada,Canada,,,
New York,United States,USA,,,
Virginia,United States,USA,,,
,United States,,,,
Minnesota,United States,USA,,,
Alberta,Canada,Canada,,,
Tennessee,United States,USA,,,
Alberta,Canada,Canada,,,
Israel,Israel,Israel,,,
Belgium,United States,Belgium,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Israel,Israel,Israel,,,
United Kingdom,United Kingdom,United Kingdom,,,
,Canada,,,,
,Canada,,,,
Nova Scotia,Canada,Canada,,,
Louisiana,United States,USA,,,
California,United States,USA,,,
California,United States,USA,,,
California,United States,USA,,,
California,United States,USA,,,
British Columbia,Canada,Canada,,,
California,United States,USA,,,
New York,United States,USA,,,
Quebec,Canada,Canada,,,
Greece,Canada,Greece,,,
Alberta,Canada,Canada,,,
New Brunswick,Canada,Canada,,,
Maryland,United States,USA,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
,Canada,,,,
Manitoba,Canada,Canada,,,
Nova Scotia,Canada,Canada,,,
Ontario,Canada,Canada,,,
,Canada,,,,
Germany,Germany,Germany,,,
Ontario,Canada,Canada,,,
Ontario,United States,Canada,,,
Ontario,Canada,Canada,,,
Nigeria,Nigeria,Nigeria,,,
Mexico,Mexico,Mexico,,,
Alberta,Canada,Canada,,,
Hawaii,United States,USA,,,
British Columbia,Canada,Canada,,,
,Canada,,,,
New Zealand,New Zealand,New Zealand,,,
California,United States,USA,,,
California,United States,USA,,,
,United States,,,,
British Columbia,Canada,Canada,,,
British Columbia,Canada,Canada,,,
India,India,India,,,
Nepal,Nepal,Nepal,,,
Sweden,Sweden,Sweden,,,
New Zealand,New Zealand,New Zealand,,,
Cyprus,Cyprus,Cyprus,,,
Italy,France,Italy,,,
Austria,Austria,Austria,,,
California,United States,USA,,,
California,United States,USA,,,
Australia,Australia,Australia,,,
Germany,Germany,Germany,,,
,United States,,,,
Ontario,Canada,Canada,,,
Denmark,Denmark,Denmark,,,
Australia,Australia,Australia,,,
Newfoundland and Labrador,Canada,Canada,,,
France,France,France,,,
Oklahoma,United States,USA,,,
Vermont,Canada,USA,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ohio,United States,USA,,,
Ontario,Canada,Canada,,,
Italy,Portugal,Italy,,,
Sweden,Canada,Sweden,,,
Nova Scotia,Canada,Canada,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
Israel,Israel,Israel,,,
Nova Scotia,Canada,Canada,,,
Quebec,Canada,Canada,,,
Indiana,United States,USA,,,
Ontario,Canada,Canada,,,
Maine,United States,USA,,,
Ontario,Canada,Canada,,,
British Columbia,Canada,Canada,,,
New York,United States,USA,,,
,Canada,,,,
Alberta,Canada,Canada,,,
British Columbia,Canada,Canada,,,
,Canada,,,,
Maryland,,USA,,,
France,France,France,,,
Finland,Finland,Finland,,,
Switzerland,United States,Switzerland,,,
Australia,Australia,Australia,,,
Germany,Benin,Germany,,,
Quebec,Canada,Canada,,,
Nova Scotia,Canada,Canada,,,
Quebec,Canada,Canada,,,
Colorado,United States,USA,,,
,Canada,,,,
,Canada,,,,
,United States,,,,
Ontario,Canada,Canada,,,
Germany,Germany,Germany,,,
Michigan,United States,USA,,,
Colorado,United States,USA,,,
Ontario,Canada,Canada,,,
Ethiopia,Ethiopia,Ethiopia,,,
,United States,,,,
Lesotho,Lesotho,Lesotho,,,
Quebec,Canada,Canada,,,
Quebec,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Saskatchewan,Canada,Canada,,,
Indonesia,Indonesia,Indonesia,,,
Bangladesh,Bangladesh,Bangladesh,,,
Vietnam,Vietnam,Vietnam,,,
Nicaragua,Nicaragua,Nicaragua,,,
Quebec,Canada,Canada,,,
India,India,India,,,
Philippines,Philippines,Philippines,,,
Kenya,Kenya,Kenya,,,
Russian Federation,Russia,Russian Federation,,,
India,India,India,,,
Israel,Israel,Israel,,,
Japan,Bangladesh,Japan,,,
Quebec,Canada,Canada,,,
California,United States,USA,,,
Colombia,Colombia,Colombia,,,
Ontario,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Nigeria,Nigeria,Nigeria,,,
Nevada,United States,USA,,,
Israel,Israel,Israel,,,
Mozambique,Mozambique,Mozambique,,,
Malaysia,Malaysia,Malaysia,,,
Taiwan,Taiwan,Taiwan,,,
Dominican Republic,Dominican Republic,Dominican Republic,,,
British Columbia,Canada,Canada,,,
Ontario,Canada,Canada,,,
Massachusetts,United States,USA,,,
Russian Federation,Canada,Russian Federation,,,
,Canada,,,,
,Canada,,,,
Ontario,Canada,Canada,,,
Indonesia,Canada,Indonesia,,,
California,United States,USA,,,
Nepal,Nepal,Nepal,,,
India,India,India,,,
Japan,Japan,Japan,,,
Iowa,United States,USA,,,
,Canada,,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
Saskatchewan,Canada,Canada,,,
Ontario,Canada,Canada,,,
Lebanon,Lebanon,Lebanon,,,
Ontario,Canada,Canada,,,
Hawaii,Canada,USA,,,
,Canada,,,,
Australia,Australia,Australia,,,
Malaysia,Malaysia,Malaysia,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Germany,Germany,Germany,,,
Switzerland,United Kingdom,Switzerland,,,
,Canada,,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
,Canada,,,,
Quebec,Canada,Canada,,,
British Columbia,Canada,Canada,,,
British Columbia,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Germany,Canada,Germany,,,
Alberta,Canada,Canada,,,
,Bangladesh,,,,
Quebec,Canada,Canada,,,
Bangladesh,Bangladesh,Bangladesh,,,
Hawaii,United States,USA,,,
Indonesia,Indonesia,Indonesia,,,
France,Canada,France,,,
California,United States,USA,,,
,Canada,,,,
California,,USA,,,
United Kingdom,United States,United Kingdom,,,
Florida,United States,USA,,,
Quebec,Canada,Canada,,,
Ontario,Canada,Canada,,,
Quebec,,Canada,,,
Nigeria,Nigeria,Nigeria,,,
British Columbia,Canada,Canada,,,
Hawaii,United States,USA,,,
Ontario,Canada,Canada,,,
Alabama,United States,USA,,,
,United States,,,,
California,United States,USA,,,
Spain,United States,Spain,,,
Texas,United States,USA,,,
Massachusetts,United States,USA,,,
North Carolina,United States,USA,,,
Massachusetts,United States,USA,,,
,Canada,,,,
,United States,,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
,United Kingdom,,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
Massachusetts,United States,USA,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
Switzerland,United Kingdom,Switzerland,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
Hong Kong,United Kingdom,Hong Kong,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
Switzerland,United Kingdom,Switzerland,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
Spain,United Kingdom,Spain,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
Australia,Australia,Australia,,,
China,United Kingdom,China,,,
Saskatchewan,Canada,Canada,,,
Washington,United Kingdom,USA,,,
Oregon,United Kingdom,USA,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
Russian Federation,United Kingdom,Russian Federation,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
Germany,United Kingdom,Germany,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
,United Kingdom,,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
China,United Kingdom,China,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
Spain,United Kingdom,Spain,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
Illinois,United States,USA,,,
United Kingdom,United Kingdom,United Kingdom,,,
Quebec,Canada,Canada,,,
United Kingdom,United Kingdom,United Kingdom,,,
Italy,United Kingdom,Italy,,,
Alberta,Canada,Canada,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
,United Kingdom,,,,
United Kingdom,United Kingdom,United Kingdom,,,
,United Kingdom,,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
,United Kingdom,,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
Switzerland,United Kingdom,Switzerland,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
Germany,United Kingdom,Germany,,,
United Kingdom,United Kingdom,United Kingdom,,,
Ontario,Canada,Canada,,,
,,,,,
United Kingdom,United Kingdom,United Kingdom,,,
New Brunswick,Canada,Canada,,,
Massachusetts,United States,USA,,,
United Kingdom,,United Kingdom,,,
Quebec,Canada,Canada,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
United Kingdom,United Kingdom,United Kingdom,,,
Netherlands,Netherlands,Netherlands,,,
Belgium,Belgium,Belgium,,,
United Kingdom,United Kingdom,United Kingdom,,,
Netherlands,Netherlands,Netherlands,,,
Australia,Australia,Australia,,,
Belgium,Belgium,Belgium,,,
United Kingdom,United Kingdom,United Kingdom,,,
Netherlands,Netherlands,Netherlands,,,
Netherlands,Netherlands,Netherlands,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
Netherlands,Netherlands,Netherlands,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
,Australia,,,,
Germany,United Kingdom,Germany,,,
United Kingdom,United Kingdom,United Kingdom,,,
Netherlands,Netherlands,Netherlands,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
Italy,Canada,Italy,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
Netherlands,Netherlands,Netherlands,,,
United Kingdom,United Kingdom,United Kingdom,,,
Quebec,Canada,Canada,,,
United Kingdom,United Kingdom,United Kingdom,,,
British Columbia,Canada,Canada,,,
Netherlands,Netherlands,Netherlands,,,
Ontario,Canada,Canada,,,
United Kingdom,United Kingdom,United Kingdom,,,
Switzerland,Switzerland,Switzerland,,,
United Kingdom,United Kingdom,United Kingdom,,,
Ontario,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Australia,Australia,Australia,,,
Alberta,Canada,Canada,,,
United Kingdom,United Kingdom,United Kingdom,,,
Israel,Israel,Israel,,,
United Kingdom,United Kingdom,United Kingdom,,,
Ontario,Canada,Canada,,,
Quebec,Canada,Canada,,,
Nebraska,United States,USA,,,
,Colombia,,,,
,Colombia,,,,
Nebraska,United States,USA,,,
British Columbia,Canada,Canada,,,
Massachusetts,United States,USA,,,
,Colombia,,,,
Nebraska,United States,USA,,,
India,India,India,,,
Connecticut,United States,USA,,,
,United States,,,,
New Hampshire,United States,USA,,,
New Hampshire,United States,USA,,,
New York,United States,USA,,,
United Kingdom,United Kingdom,United Kingdom,,,
,Canada,,,,
Australia,Australia,Australia,,,
Quebec,Canada,Canada,,,
United Kingdom,United Kingdom,United Kingdom,,,
Quebec,Canada,Canada,,,
United Kingdom,United Kingdom,United Kingdom,,,
New Brunswick,Canada,Canada,,,
,Colombia,,,,
Massachusetts,United States,USA,,,
Ontario,Canada,Canada,,,
Nova Scotia,Canada,Canada,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Virginia,United States,USA,,,
New Zealand,New Zealand,New Zealand,,,
Australia,Australia,Australia,,,
California,United States,USA,,,
United Kingdom,United Kingdom,United Kingdom,,,
Connecticut,United States,USA,,,
Ontario,Canada,Canada,,,
United Kingdom,United Kingdom,United Kingdom,,,
New Zealand,New Zealand,New Zealand,,,
District of Columbia,United States,USA,,,
Portugal,New Zealand,Portugal,,,
New Zealand,New Zealand,New Zealand,,,
Ontario,,Canada,,,
United Kingdom,United Kingdom,United Kingdom,,,
Quebec,Canada,Canada,,,
New Zealand,New Zealand,New Zealand,,,
New Zealand,New Zealand,New Zealand,,,
Portugal,Portugal,Portugal,,,
,Canada,,,,
,Canada,,,,
Brazil,Brazil,Brazil,,,
United Kingdom,Nigeria,United Kingdom,,,
Japan,Canada,Japan,,,
Ontario,Canada,Canada,,,
Italy,Italy,Italy,,,
Spain,Spain,Spain,,,
Spain,Spain,Spain,,,
Connecticut,United States,USA,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
Colorado,United States,USA,,,
Finland,Finland,Finland,,,
Switzerland,Switzerland,Switzerland,,,
Florida,United States,USA,,,
Quebec,Canada,Canada,,,
British Columbia,Canada,Canada,,,
,Canada,,,,
United Kingdom,United Kingdom,United Kingdom,,,
Ohio,United States,USA,,,
Michigan,United States,USA,,,
Ontario,Canada,Canada,,,
Utah,United States,USA,,,
Maryland,United States,USA,,,
Australia,Australia,Australia,,,
Oregon,United States,USA,,,
,Canada,,,,
Germany,Germany,Germany,,,
Austria,Austria,Austria,,,
United Kingdom,United Kingdom,United Kingdom,,,
Michigan,Netherlands,USA,,,
Ontario,Canada,Canada,,,
Oregon,Gabon,USA,,,
India,India,India,,,
Netherlands,Netherlands,Netherlands,,,
Florida,United States,USA,,,
California,United States,USA,,,
Quebec,Canada,Canada,,,
Georgia,United States,USA,,,
Rhode Island,United States,USA,,,
California,United States,USA,,,
Kansas,United States,USA,,,
Quebec,Canada,Canada,,,
Sweden,Sweden,Sweden,,,
Massachusetts,United States,USA,,,
Massachusetts,United States,USA,,,
Massachusetts,United States,USA,,,
Massachusetts,United States,USA,,,
Massachusetts,United States,USA,,,
Maine,United States,USA,,,
Ontario,Canada,Canada,,,
Massachusetts,United States,USA,,,
Massachusetts,United States,USA,,,
Massachusetts,United States,USA,,,
Massachusetts,United States,USA,,,
Massachusetts,United States,USA,,,
Massachusetts,United States,USA,,,
Massachusetts,United States,USA,,,
Louisiana,United States,USA,,,
Florida,United States,USA,,,
Massachusetts,United States,USA,,,
Quebec,Canada,Canada,,,
Massachusetts,United States,USA,,,
Florida,United States,USA,,,
Florida,United States,USA,,,
United Kingdom,United Kingdom,United Kingdom,,,
Massachusetts,,USA,,,
Massachusetts,United States,USA,,,
Quebec,Canada,Canada,,,
Quebec,Canada,Canada,,,
Quebec,Canada,Canada,,,
Germany,Germany,Germany,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
France,Australia,France,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Ohio,United States,USA,,,
Australia,Australia,Australia,,,
Massachusetts,United States,USA,,,
Antigua and Barbuda,United Kingdom,Antigua and Barbuda,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
China,Australia,China,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
