"Location","Country_work","Country"
"British Columbia","","Canada"
"Australia","","Australia"
"Israel","","Israel"
"Ontario","","Canada"
"British Columbia","Barbados","Canada"
"British Columbia","Antarctica","Canada"
"British Columbia","Canada","Canada"
"Netherlands","","Netherlands"
"Netherlands","Canada","Netherlands"
"Netherlands","Russia","Netherlands"
"Netherlands","Germany","Netherlands"
"Netherlands","United Kingdom","Netherlands"
"Netherlands","Netherlands","Netherlands"
"Netherlands","Canada","Netherlands"
"Netherlands","Brazil","Netherlands"
"","Australia",""
"South Africa","South Africa","South Africa"
"Denmark","Japan","Denmark"
"Morocco","","Morocco"
"Netherlands","United States","Netherlands"
"Netherlands","United Kingdom","Netherlands"
"Netherlands","Netherlands","Netherlands"
"Netherlands","Mauritius","Netherlands"
"Netherlands","Uruguay","Netherlands"
"Netherlands","Turkey","Netherlands"
"Netherlands","Australia","Netherlands"
"United Kingdom","Taiwan","United Kingdom"
"California","United States","United States"
"Netherlands","Indonesia","Netherlands"
"","Morocco",""
"Netherlands","Netherlands","Netherlands"
"France","South Africa","France"
"New Zealand","New Zealand","New Zealand"
"","India",""
"France","France","France"
"","Bangladesh",""
"Switzerland","Switzerland","Switzerland"
"Poland","Poland","Poland"
"Turkey","Turkey","Turkey"
"Spain","South Africa","Spain"
"","Ghana",""
"Norway","Germany","Norway"
"South Africa","South Africa","South Africa"
"Portugal","Portugal","Portugal"
"Malaysia","Malaysia","Malaysia"
"Illinois","United States","United States"
"","Australia",""
"Netherlands","Netherlands","Netherlands"
"Netherlands","Netherlands","Netherlands"
"Italy","Italy","Italy"
"Italy","Italy","Italy"
"Italy","Italy","Italy"
"Italy","Italy","Italy"
"Italy","Italy","Italy"
"United Kingdom","United Kingdom","United Kingdom"
"Italy","Italy","Italy"
"Italy","Italy","Italy"
"Netherlands","Netherlands","Netherlands"
"Italy","Italy","Italy"
"Netherlands","Netherlands","Netherlands"
"Italy","Italy","Italy"
"Italy","Italy","Italy"
"Italy","Italy","Italy"
"United Kingdom","United Kingdom","United Kingdom"
"Italy","Netherlands","Italy"
"United Kingdom","United Kingdom","United Kingdom"
"Italy","Italy","Italy"
"Netherlands","Netherlands","Netherlands"
"Italy","Italy","Italy"
"Belgium","Belgium","Belgium"
"Belgium","Netherlands","Belgium"
"Norway","Norway","Norway"
"Germany","United States","Germany"
"Italy","Italy","Italy"
"Italy","Italy","Italy"
"Italy","Italy","Italy"
"Italy","Italy","Italy"
"Italy","Italy","Italy"
"Italy","Italy","Italy"
"Italy","Italy","Italy"
"Finland","Finland","Finland"
"United Kingdom","United Kingdom","United Kingdom"
"Belgium","Belgium","Belgium"
"United Kingdom","United Kingdom","United Kingdom"
"Italy","Italy","Italy"
"Netherlands","Netherlands","Netherlands"
"Netherlands","","Netherlands"
"France","France","France"
"Italy","Italy","Italy"
"Italy","Italy","Italy"
"Israel","Israel","Israel"
"Argentina","France","Argentina"
"Italy","Italy","Italy"
"United Kingdom","United Kingdom","United Kingdom"
"Quebec","Canada","Canada"
"Italy","Italy","Italy"
"Italy","Italy","Italy"
"Greece","Greece","Greece"
"Italy","Netherlands","Italy"
"Germany","Germany","Germany"
"Cyprus","Cyprus","Cyprus"
"Hungary","Hungary","Hungary"
"Vietnam","Vietnam","Vietnam"
"Japan","Japan","Japan"
"United Kingdom","United Kingdom","United Kingdom"
"Italy","Italy","Italy"
"France","France","France"
"Italy","Italy","Italy"
"Norway","Norway","Norway"
"Italy","Italy","Italy"
"Alberta","Canada","Canada"
"Netherlands","Netherlands","Netherlands"
"Italy","Italy","Italy"
"Spain","Spain","Spain"
"Switzerland","Italy","Switzerland"
"Finland","Spain","Finland"
"Spain","Canada","Spain"
"Italy","Italy","Italy"
"United Kingdom","Italy","United Kingdom"
"Massachusetts","United States","United States"
"India","India","India"
"Netherlands","Netherlands","Netherlands"
"Italy","Italy","Italy"
"Japan","","Japan"
"Italy","Italy","Italy"
"France","France","France"
"France","France","France"
"","Nigeria",""
"Netherlands","Netherlands","Netherlands"
"Italy","Italy","Italy"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"California","United States","United States"
"Italy","Italy","Italy"
"Egypt","Egypt","Egypt"
"Italy","Italy","Italy"
"Israel","Israel","Israel"
"Italy","Italy","Italy"
"United Kingdom","Canada","United Kingdom"
"Netherlands","Netherlands","Netherlands"
"Malaysia","Malaysia","Malaysia"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Spain","Spain","Spain"
"Israel","Israel","Israel"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"","Australia",""
"Ontario","Canada","Canada"
"Australia","Australia","Australia"
"Illinois","Italy","United States"
"Alberta","Canada","Canada"
"Portugal","Portugal","Portugal"
"Italy","Portugal","Italy"
"United Kingdom","United Kingdom","United Kingdom"
"Israel","Israel","Israel"
"California","United States","United States"
"Netherlands","Netherlands","Netherlands"
"Italy","Italy","Italy"
"Arizona","United States","United States"
"Wisconsin","United States","United States"
"Portugal","Spain","Portugal"
"Belgium","Belgium","Belgium"
"California","United States","United States"
"Netherlands","United States","Netherlands"
"","United States",""
"Montenegro","Montenegro","Montenegro"
"Nevada","United States","United States"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Illinois","United States","United States"
"New York","United States","United States"
"Australia","Australia","Australia"
"China","China","China"
"Israel","Israel","Israel"
"","United States",""
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"Australia","Australia","Australia"
"","Australia",""
"United Kingdom","United Kingdom","United Kingdom"
"Singapore","Singapore","Singapore"
"Italy","Germany","Italy"
"Italy","Italy","Italy"
"United Kingdom","United Kingdom","United Kingdom"
"New Zealand","New Zealand","New Zealand"
"Israel","Israel","Israel"
"United Kingdom","United Kingdom","United Kingdom"
"Korea","Korea, South","Korea"
"Ontario","Canada","Canada"
"United Kingdom","United Kingdom","United Kingdom"
"France","France","France"
"Poland","Poland","Poland"
"Poland","Poland","Poland"
"Poland","Poland","Poland"
"Oregon","United States","United States"
"Australia","Australia","Australia"
"Israel","United States","Israel"
"Netherlands","Netherlands","Netherlands"
"Australia","Australia","Australia"
"Poland","Poland","Poland"
"Poland","Poland","Poland"
"Serbia","","Serbia"
"Poland","Poland","Poland"
"Poland","Poland","Poland"
"Poland","Poland","Poland"
"Poland","Poland","Poland"
"Belgium","Poland","Belgium"
"Poland","Poland","Poland"
"Serbia","Serbia","Serbia"
"France","France","France"
"France","France","France"
"France","France","France"
"Poland","Poland","Poland"
"Belgium","Belgium","Belgium"
"Mexico","France","Mexico"
"France","France","France"
"France","France","France"
"France","United States","France"
"Israel","Israel","Israel"
"Japan","Japan","Japan"
"Kenya","Kenya","Kenya"
"Israel","","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","","Israel"
"","Israel",""
"Israel","Israel","Israel"
"Pennsylvania","Israel","United States"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"France","France","France"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"United Kingdom","Australia","United Kingdom"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"California","United States","United States"
"","Australia",""
"Australia","Australia","Australia"
"Maryland","United States","United States"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Poland","Poland","Poland"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Switzerland","Poland","Switzerland"
"Serbia","Serbia","Serbia"
"Israel","Israel","Israel"
"France","France","France"
"","Israel",""
"Israel","Israel","Israel"
"Netherlands","Netherlands","Netherlands"
"Germany","France","Germany"
"Serbia","Serbia","Serbia"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"France","France","France"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Michigan","United States","United States"
"France","France","France"
"Romania","Romania","Romania"
"British Columbia","Canada","Canada"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Switzerland","Israel","Switzerland"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"","Poland",""
"California","Israel","United States"
"France","Israel","France"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Germany","Israel","Germany"
"India","India","India"
"Greece","Italy","Greece"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Quebec","France","Canada"
"","United States",""
"","United States",""
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"New Hampshire","Israel","United States"
"Israel","Israel","Israel"
"Maryland","Israel","United States"
"Israel","","Israel"
"Ontario","Israel","Canada"
"Switzerland","Israel","Switzerland"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Vermont","Israel","United States"
"Israel","","Israel"
"Israel","Israel","Israel"
"Spain","Israel","Spain"
"Israel","Israel","Israel"
"","Israel",""
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"United Kingdom","Israel","United Kingdom"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Poland","Poland","Poland"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","","Israel"
"Israel","Israel","Israel"
"Arizona","United States","United States"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Michigan","United States","United States"
"Ontario","Israel","Canada"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Netherlands","India","Netherlands"
"Israel","Israel","Israel"
"France","France","France"
"","Israel",""
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom"
"Israel","Israel","Israel"
"United Kingdom","United Kingdom","United Kingdom"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"Israel","Israel","Israel"
"","United States",""
"Israel","Israel","Israel"
"","United States",""
"Nebraska","United States","United States"
"France","Brazil","France"
"Brazil","Brazil","Brazil"
"Brazil","Brazil","Brazil"
"Netherlands","Brazil","Netherlands"
"Brazil","","Brazil"
"Brazil","Brazil","Brazil"
"Brazil","Brazil","Brazil"
"","Brazil",""
"Brazil","Brazil","Brazil"
"Brazil","Brazil","Brazil"
"Brazil","Brazil","Brazil"
"Brazil","Brazil","Brazil"
"Brazil","Brazil","Brazil"
"Brazil","Brazil","Brazil"
"Brazil","Brazil","Brazil"
"Brazil","Brazil","Brazil"
"Germany","Germany","Germany"
"Brazil","Brazil","Brazil"
"Spain","Spain","Spain"
"Brazil","Brazil","Brazil"
"Brazil","Brazil","Brazil"
"Italy","Italy","Italy"
"Uruguay","Uruguay","Uruguay"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"","Canada",""
"Quebec","Canada","Canada"
"","Canada",""
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"Alberta","Canada","Canada"
"Quebec","Canada","Canada"
"Alberta","Canada","Canada"
"Alberta","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Alberta","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada"
"Alberta","Canada","Canada"
"Alberta","Canada","Canada"
"Prince Edward Island","Canada","Canada"
"Saskatchewan","Canada","Canada"
"British Columbia","Canada","Canada"
"Saskatchewan","Canada","Canada"
"New Brunswick","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"British Columbia","Canada","Canada"
"Alberta","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Austria","Canada","Austria"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Nova Scotia","Canada","Canada"
"","Canada",""
"Ontario","Canada","Canada"
"Norway","Canada","Norway"
"British Columbia","Canada","Canada"
"Saskatchewan","Canada","Canada"
"Wisconsin","Canada","United States"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"Massachusetts","Canada","United States"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"British Columbia","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada"
"Quebec","Canada","Canada"
"British Columbia","Canada","Canada"
"France","Canada","France"
"Ontario","Canada","Canada"
"","Canada",""
"Quebec","Canada","Canada"
"British Columbia","Canada","Canada"
"British Columbia","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Quebec","","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada"
"Quebec","Canada","Canada"
"Alberta","Canada","Canada"
"France","Canada","France"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"British Columbia","Canada","Canada"
"British Columbia","Canada","Canada"
"","Canada",""
"","Canada",""
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Quebec","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","","Canada"
"Quebec","Canada","Canada"
"Quebec","Canada","Canada"
"Quebec","Central African Republic","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Switzerland","Canada","Switzerland"
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"Poland","Canada","Poland"
"British Columbia","Canada","Canada"
"Alberta","Canada","Canada"
"Newfoundland and Labrador","Chad","Canada"
"Quebec","Canada","Canada"
"British Columbia","Canada","Canada"
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"British Columbia","","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"British Columbia","Canada","Canada"
"Uruguay","Uruguay","Uruguay"
"","Canada",""
"Alberta","Canada","Canada"
"","",""
"Ontario","Canada","Canada"
"Manitoba","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Ontario","Canada","Canada"
"Manitoba","","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"New Brunswick","Canada","Canada"
"Alberta","Canada","Canada"
"Alberta","Canada","Canada"
"New Brunswick","Canada","Canada"
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","India","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Vermont","Canada","United States"
"Ontario","","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"Alberta","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Alberta","Canada","Canada"
"Nevada","Canada","United States"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Nevada","Canada","United States"
"Ontario","Canada","Canada"
"Alberta","United States","Canada"
"Quebec","Canada","Canada"
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"France","Canada","France"
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","","Canada"
"Manitoba","Canada","Canada"
"Quebec","Canada","Canada"
"Manitoba","Canada","Canada"
"","Canada",""
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"New Brunswick","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"New York","Canada","United States"
"Ontario","Canada","Canada"
"Japan","Canada","Japan"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"","Canada",""
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"","Canada",""
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Saskatchewan","Canada","Canada"
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Prince Edward Island","Canada","Canada"
"British Columbia","Canada","Canada"
"British Columbia","Canada","Canada"
"British Columbia","Canada","Canada"
"Manitoba","","Canada"
"Alberta","Canada","Canada"
"France","Canada","France"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"Alberta","Canada","Canada"
"Alberta","Canada","Canada"
"British Columbia","Canada","Canada"
"Quebec","","Canada"
"United Kingdom","Canada","United Kingdom"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"Manitoba","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada"
"Ontario","Canada","Canada"
"","Canada",""
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"New York","Canada","United States"
"Greece","Canada","Greece"
"Quebec","Canada","Canada"
"Alberta","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Croatia","Canada","Croatia"
"","Canada",""
"Prince Edward Island","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"","Canada",""
"Alberta","Canada","Canada"
"Alberta","Canada","Canada"
"","Canada",""
"British Columbia","Canada","Canada"
"Alberta","Canada","Canada"
"Ontario","","Canada"
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"Korea","","Korea"
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Switzerland","Canada","Switzerland"
"","Canada",""
"Nova Scotia","Canada","Canada"
"Alberta","Canada","Canada"
"","Canada",""
"Alberta","Canada","Canada"
"New Brunswick","Canada","Canada"
"Quebec","Canada","Canada"
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"Vermont","Canada","United States"
"","Canada",""
"Quebec","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
"Ontario","Canada","Canada"
"Mexico","Canada","Mexico"
"","Canada",""
"Ontario","Canada","Canada"
"Nova Scotia","Canada","Canada"
"Ontario","Canada","Canada"
"","United States",""
"Florida","Canada","United States"
"","Canada",""
"","Canada",""
"Australia","Canada","Australia"
"Ontario","Canada","Canada"
"Chile","Chile","Chile"
"Saskatchewan","Canada","Canada"
"","Canada",""
"Yukon Territory","Canada","Canada"
"British Columbia","Canada","Canada"
"Quebec","Canada","Canada"
"","Canada",""
"Alberta","Canada","Canada"
"Prince Edward Island","Canada","Canada"
"Alberta","Canada","Canada"
"British Columbia","Canada","Canada"
"","Canada",""
"British Columbia","Canada","Canada"
"New Brunswick","Canada","Canada"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Alberta","Canada","Canada"
"British Columbia","Canada","Canada"
"Argentina","Argentina","Argentina"
"Ontario","Canada","Canada"
"British Columbia","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Quebec","Canada","Canada"
"Sweden","Canada","Sweden"
"Newfoundland and Labrador","Canada","Canada"
"Ontario","Canada","Canada"
"Ontario","Canada","Canada"
"Alberta","Canada","Canada"
