"Country","Country_work","gender","what_participant_group","field_research","Location","view_change_partnership"
"Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","British Columbia","Very positive"
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands","Slightly negative"
"Netherlands","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Netherlands","Slightly negative"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec","Slightly negative"
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands","Slightly positive"
"Austria","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Austria","Slightly positive"
"Netherlands","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Netherlands","Neutral"
"Italy","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Italy","Slightly negative"
"Cyprus","","","Senior academic researcher with >10 years of experience applying for research grants","","Cyprus","Neutral"
"Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Italy","Neutral"
"Italy","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Italy","Slightly negative"
"Germany","","","Senior academic researcher with >10 years of experience applying for research grants","","Germany","Slightly negative"
"Belgium","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Belgium","Very negative"
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands","Slightly positive"
"Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Italy","Slightly negative"
"Poland","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Poland","Slightly negative"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","Neutral"
"Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Italy","Neutral"
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France","Slightly positive"
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands","Slightly negative"
"Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Australia","Slightly negative"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Nova Scotia","Slightly positive"
"Germany","","","Senior academic researcher with >10 years of experience applying for research grants","","Germany","Very positive"
"Serbia","","","Senior academic researcher with >10 years of experience applying for research grants","","Serbia","Neutral"
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France","Very positive"
"Poland","","","Senior academic researcher with >10 years of experience applying for research grants","","Poland","Slightly positive"
"Chile","","","Senior academic researcher with >10 years of experience applying for research grants","","Chile","Neutral"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Slightly negative"
"Poland","","","Senior academic researcher with >10 years of experience applying for research grants","","Poland","Neutral"
"Poland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Poland","Slightly negative"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","Very positive"
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Nebraska","Very positive"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","Very positive"
"Brazil","","","Senior academic researcher with >10 years of experience applying for research grants","","Brazil","Slightly positive"
"Brazil","","","Senior academic researcher with >10 years of experience applying for research grants","","Brazil","Neutral"
"Brazil","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Brazil","Slightly positive"
"Brazil","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Brazil","Neutral"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Slightly negative"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Very negative"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Neutral"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Neutral"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Neutral"
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Ontario","Slightly positive"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario","Slightly negative"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Alberta","Very positive"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario","Slightly negative"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Slightly negative"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Very positive"
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Alberta","Very positive"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Alberta","Slightly positive"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario","Slightly negative"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Neutral"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Slightly negative"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Slightly positive"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Very positive"
"","","","Senior academic researcher with >10 years of experience applying for research grants","","","Very negative"
"China","","","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","China","Very positive"
"Russian Federation","","","Senior academic researcher with >10 years of experience applying for research grants","","Russian Federation","Slightly negative"
"France","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","France","Slightly negative"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Very positive"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Alberta","Slightly negative"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Slightly negative"
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","New Brunswick","Neutral"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Slightly negative"
"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Ontario","Slightly positive"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario","Slightly negative"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec","Slightly negative"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Neutral"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec","Slightly positive"
"","","","Senior academic researcher with >10 years of experience applying for research grants","","","Very positive"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Slightly positive"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec","Neutral"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec","Slightly negative"
"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Quebec","Very positive"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Neutral"
"United Kingdom","","","","","United Kingdom","Slightly negative"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Slightly negative"
"Israel","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Israel","Very negative"
"Israel","","","","","Israel","Neutral"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Nova Scotia","Very positive"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Alberta","Neutral"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Newfoundland and Labrador","Neutral"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Slightly positive"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Very negative"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Slightly positive"
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France","Very positive"
"Israel","","Male","","Interdisciplinary Science","Israel","Neutral"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Very negative"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Very positive"
"Germany","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Germany","Neutral"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","Slightly positive"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","British Columbia","Very positive"
"Switzerland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Switzerland","Slightly positive"
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","New York","Very positive"
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Massachusetts","Slightly negative"
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","New York","Neutral"
"USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","California","Slightly positive"
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","California","Very positive"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Neutral"
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France","Very positive"
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Utah","Very positive"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Alberta","Very negative"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","British Columbia","Slightly positive"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Newfoundland and Labrador","Very positive"
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","British Columbia","Slightly positive"
"","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","","Very positive"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","New Brunswick","Neutral"
"","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","","Slightly positive"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","New Brunswick","Slightly positive"
"Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Ontario","Very positive"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","Slightly negative"
"","","","Senior academic researcher with >10 years of experience applying for research grants","","","Very positive"
"United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","United Kingdom","Very positive"
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Alabama","Very negative"
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom","Very positive"
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom","Very positive"
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom","Neutral"
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom","Slightly positive"
"","","","Senior academic researcher with >10 years of experience applying for research grants","","","Very positive"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Nova Scotia","Neutral"
"","","","Senior academic researcher with >10 years of experience applying for research grants","","","Slightly positive"
"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Ontario","Slightly negative"
"India","","","Senior academic researcher with >10 years of experience applying for research grants","","India","Slightly negative"
"Europe","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Europe","Slightly negative"
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Massachusetts","Slightly positive"
"United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","","United Kingdom","Slightly negative"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","Neutral"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","Slightly positive"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","Very positive"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","Very positive"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","Slightly positive"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","Very positive"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","Very positive"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","Very positive"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","Very positive"
"New Zealand","","","Senior academic researcher with >10 years of experience applying for research grants","","New Zealand","Slightly negative"
"New Zealand","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","New Zealand","Neutral"
"New Zealand","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","New Zealand","Slightly negative"
"New Zealand","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","New Zealand","Slightly negative"
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Utah","Very positive"
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia","Slightly positive"
"","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","","Very positive"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","British Columbia","Very negative"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Very positive"
"Uruguay","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Uruguay","Slightly positive"
"Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Italy","Very positive"
"Malta","","","Senior academic researcher with >10 years of experience applying for research grants","","Malta","Neutral"
"Uruguay","","","Senior academic researcher with >10 years of experience applying for research grants","","Uruguay","Very negative"
"India","","","Senior academic researcher with >10 years of experience applying for research grants","","India","Neutral"
"Indonesia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Indonesia","Slightly positive"
"India","","","Senior academic researcher with >10 years of experience applying for research grants","","India","Very positive"
"Uruguay","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Uruguay","Slightly positive"
"Uruguay","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Uruguay","Very positive"
"","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","","Very positive"
"Malta","","","Senior academic researcher with >10 years of experience applying for research grants","","Malta","Neutral"
"Malta","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Malta","Slightly positive"
"Malta","","","Senior academic researcher with >10 years of experience applying for research grants","","Malta","Very positive"
"India","","","Senior academic researcher with >10 years of experience applying for research grants","","India","Neutral"
"India","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","India","Very positive"
