"Country","Country_work","gender","Location","what_participant_group","field_research","year","level"
"Canada","Brazil","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","practical_applications_important_11_15","Very important"
"Canada","Canada","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","practical_applications_important_11_15","Mandatory"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Somewhat important"
"Sweden","","","Sweden","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","practical_applications_important_11_15","Mandatory"
"Switzerland","","","Switzerland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_11_15","Can't comment"
"Netherlands","","","Netherlands","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","practical_applications_important_11_15","Very important"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Quite important"
"Cyprus","","","Cyprus","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Mandatory"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Quite important"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_11_15","Very important"
"Germany","","","Germany","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Somewhat important"
"Belgium","","","Belgium","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_11_15","Not at all important"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Very important"
"Romania","","","Romania","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_11_15","Quite important"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"Poland","","","Poland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_11_15","Mandatory"
"France","","","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Not at all important"
"Italy","","","Italy","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","practical_applications_important_11_15","Quite important"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Not at all important"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Very important"
"USA","","","New York","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Somewhat important"
"USA","","","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Very important"
"Serbia","","","Serbia","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Somewhat important"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Mandatory"
"Canada","","","Alberta","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","practical_applications_important_11_15","Quite important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"Poland","","","Poland","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Somewhat important"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Somewhat important"
"Poland","","","Poland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Quite important"
"USA","","","Florida","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Quite important"
"Spain","","","Spain","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Somewhat important"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Somewhat important"
"Canada","Canada","Male","New Brunswick","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","practical_applications_important_11_15","Can't comment"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Can't comment"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Can't comment"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Not at all important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"China","","","China","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","practical_applications_important_11_15","Quite important"
"Russian Federation","","","Russian Federation","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Mandatory"
"Canada","","","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_11_15","Somewhat important"
"USA","","","Florida","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_11_15","Somewhat important"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Quite important"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Somewhat important"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Very important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Mandatory"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Somewhat important"
"Canada","","","New Brunswick","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_11_15","Somewhat important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Mandatory"
"Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","practical_applications_important_11_15","Mandatory"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Very important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Mandatory"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Quite important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Mandatory"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Somewhat important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Somewhat important"
"Canada","","","New Brunswick","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Can't comment"
"Canada","Canada","Male","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Engineering","practical_applications_important_11_15","Mandatory"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"Romania","","","Romania","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Quite important"
"United Kingdom","","","United Kingdom","","","practical_applications_important_11_15","Mandatory"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Quite important"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Somewhat important"
"Israel","","","Israel","","","practical_applications_important_11_15","Not at all important"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Quite important"
"Canada","","","Alberta","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"Canada","","","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_11_15","Very important"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Can't comment"
"Canada","Canada","Male","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","practical_applications_important_11_15","Can't comment"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Can't comment"
"Canada","","","Newfoundland and Labrador","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Very important"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Mandatory"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Mandatory"
"Canada","","","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_11_15","Very important"
"Israel","","Male","Israel","","Interdisciplinary Science","practical_applications_important_11_15","Quite important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Quite important"
"Canada","","","Saskatchewan","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Mandatory"
"Germany","","","Germany","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Very important"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Quite important"
"Switzerland","","","Switzerland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Somewhat important"
"USA","","","Minnesota","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Somewhat important"
"Canada","","","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Can't comment"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Somewhat important"
"USA","","","Utah","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"Canada","","","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Mandatory"
"Canada","","","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_11_15","Very important"
"Canada","","","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Not at all important"
"Pakistan","","","Pakistan","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Somewhat important"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Somewhat important"
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Very important"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_11_15","Somewhat important"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_11_15","Can't comment"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Quite important"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_11_15","Can't comment"
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","practical_applications_important_11_15","Mandatory"
"Europe","","","Europe","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","practical_applications_important_11_15","Mandatory"
"USA","","","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"USA","","","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Somewhat important"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Somewhat important"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Can't comment"
"Japan","","","Japan","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Can't comment"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_11_15","Very important"
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_11_15","Very important"
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Quite important"
"New Zealand","","","New Zealand","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","practical_applications_important_11_15","Very important"
"New Zealand","","","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Very important"
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"Israel","Israel","","Israel","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Other","practical_applications_important_11_15","Not at all important"
"USA","","","Utah","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Very important"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Quite important"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Somewhat important"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_11_15","Quite important"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Very important"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Very important"
"India","","","India","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_11_15","Mandatory"
"Argentina","","","Argentina","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Somewhat important"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Very important"
"Malta","","","Malta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_11_15","Mandatory"
"Uruguay","","","Uruguay","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","practical_applications_important_11_15","Not at all important"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Somewhat important"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Not at all important"
"Indonesia","","","Indonesia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Quite important"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Can't comment"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Very important"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Mandatory"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
