"Country","Country_work","gender","Location","what_participant_group","field_research","year","level"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Very important"
"Uruguay","","","Uruguay","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","practical_applications_important_11_15","Very important"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Somewhat important"
"USA","","","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Very important"
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Somewhat important"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Can't comment"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Very important"
"Canada","Brazil","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","practical_applications_important_6_10","Somewhat important"
"Canada","Canada","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","practical_applications_important_6_10","Somewhat important"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Very important"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Quite important"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Quite important"
"Sweden","","","Sweden","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","practical_applications_important_6_10","Very important"
"Switzerland","","","Switzerland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_6_10","Can't comment"
"Netherlands","","","Netherlands","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","practical_applications_important_6_10","Somewhat important"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Very important"
"Cyprus","","","Cyprus","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Very important"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Quite important"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_6_10","Can't comment"
"Germany","","","Germany","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Quite important"
"Belgium","","","Belgium","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_6_10","Can't comment"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Very important"
"Romania","","","Romania","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_6_10","Not at all important"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Not at all important"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Somewhat important"
"Poland","","","Poland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_6_10","Somewhat important"
"France","","","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Not at all important"
"Italy","","","Italy","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","practical_applications_important_6_10","Can't comment"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Not at all important"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Quite important"
"USA","","","New York","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Somewhat important"
"USA","","","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Somewhat important"
"Serbia","","","Serbia","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Somewhat important"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Very important"
"Canada","","","Alberta","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","practical_applications_important_6_10","Quite important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Very important"
"Poland","","","Poland","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Somewhat important"
"Poland","","","Poland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Very important"
"USA","","","Florida","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Very important"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Very important"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Somewhat important"
"Spain","","","Spain","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Somewhat important"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Somewhat important"
"Canada","Canada","Male","New Brunswick","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","practical_applications_important_6_10","Can't comment"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Can't comment"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Can't comment"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Not at all important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Very important"
"China","","","China","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","practical_applications_important_6_10","Somewhat important"
"Russian Federation","","","Russian Federation","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Very important"
"Canada","","","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_6_10","Not at all important"
"USA","","","Florida","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_6_10","Not at all important"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Not at all important"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Very important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Mandatory"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Can't comment"
"Canada","","","New Brunswick","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_6_10","Quite important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Quite important"
"Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","practical_applications_important_6_10","Very important"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Very important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Mandatory"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Somewhat important"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Very important"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Somewhat important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Somewhat important"
"Canada","","","New Brunswick","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Not at all important"
"Canada","Canada","Male","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Engineering","practical_applications_important_6_10","Quite important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Somewhat important"
"Romania","","","Romania","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Quite important"
"United Kingdom","","","United Kingdom","","","practical_applications_important_6_10","Mandatory"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Somewhat important"
"Israel","","","Israel","","","practical_applications_important_6_10","Quite important"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Not at all important"
"Canada","","","Alberta","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Somewhat important"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Can't comment"
"Canada","Canada","Male","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","practical_applications_important_6_10","Not at all important"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Can't comment"
"Canada","","","Newfoundland and Labrador","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Somewhat important"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Can't comment"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Mandatory"
"Canada","","","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_6_10","Somewhat important"
"Israel","","Male","Israel","","Interdisciplinary Science","practical_applications_important_6_10","Mandatory"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Quite important"
"Canada","","","Saskatchewan","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Mandatory"
"Germany","","","Germany","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Mandatory"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Very important"
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Not at all important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Quite important"
"Switzerland","","","Switzerland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Not at all important"
"USA","","","Minnesota","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Somewhat important"
"Canada","","","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Can't comment"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Very important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Very important"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Quite important"
"USA","","","Utah","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Somewhat important"
"Canada","","","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Can't comment"
"Canada","","","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_6_10","Somewhat important"
"Canada","","","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Not at all important"
"Pakistan","","","Pakistan","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Somewhat important"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Very important"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Quite important"
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Can't comment"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_6_10","Somewhat important"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Somewhat important"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_6_10","Can't comment"
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Somewhat important"
"Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","practical_applications_important_6_10","Somewhat important"
"Europe","","","Europe","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","practical_applications_important_6_10","Can't comment"
"USA","","","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Very important"
"USA","","","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Somewhat important"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Quite important"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Somewhat important"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Can't comment"
"Japan","","","Japan","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Can't comment"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Quite important"
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_6_10","Very important"
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_6_10","Very important"
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Somewhat important"
"New Zealand","","","New Zealand","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","practical_applications_important_6_10","Very important"
"New Zealand","","","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Somewhat important"
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Very important"
"USA","","","Utah","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Very important"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Somewhat important"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Quite important"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_6_10","Can't comment"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Somewhat important"
"India","","","India","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_6_10","Can't comment"
"Argentina","","","Argentina","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Somewhat important"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Mandatory"
"Malta","","","Malta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_6_10","Mandatory"
"Uruguay","","","Uruguay","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","practical_applications_important_6_10","Not at all important"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Somewhat important"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Can't comment"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Can't comment"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Somewhat important"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Mandatory"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Quite important"
"Uruguay","","","Uruguay","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","practical_applications_important_6_10","Very important"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Can't comment"
"USA","","","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Very important"
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_6_10","Not at all important"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Can't comment"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_6_10","Not at all important"
