"Location","nation","id","Country","Country_work","gender","what_participant_group","field_research","total_research","percent_Applied_Research_current","percent_Applied_Research_past","percent_Fundamental_Research_past","percent_fundemental_research_current","percent_Use_inspired_Research_current","percent_Use_inspired_Research_past","changed","majority_current","majority_past","app.use.fund.current","app.use.fund.past","curr_past.app","curr_past.use","curr_past.fund"
"Uruguay","Uruguay",2705,"Uruguay","Uruguay","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",110,0,0,18.1818181818182,9.09090909090909,81.8181818181818,81.8181818181818,"Yes","use.current","use.past",-81.8181818181818,-81.8181818181818,0,0,-9.09090909090911
"Uruguay","Uruguay",2706,"Uruguay","Uruguay","Male","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",80,50,10,60,10,40,10,"Yes","app.current","fund.past",-90,60,40,30,-50
"Uruguay","Uruguay",2707,"Uruguay","Uruguay","Female","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,80,100,0,20,0,0,"Yes","app.current","app.past",-80,-100,-20,0,20
"Uruguay","Uruguay",2710,"Uruguay","Uruguay","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",190,0,0,47.3684210526316,52.6315789473684,0,52.6315789473684,"Yes","fund.current","use.past",52.6315789473684,-52.6315789473684,0,-52.6315789473684,5.26315789473681
"Uruguay","Uruguay",2711,"Uruguay","Uruguay","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,0,0,100,90,10,0,"Yes","fund.current","fund.past",90,100,0,10,-10
"Uruguay","Uruguay",2716,"Uruguay","Uruguay","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,30,20,50,30,40,30,"Yes","fund.current","fund.past",30,50,10,10,-20
"Uruguay","Uruguay",2722,"Uruguay","Uruguay","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,20,10,90,60,10,0,"Yes","fund.current","fund.past",60,90,10,10,-30
"Ethiopia","Ethiopia",2747,"Ethiopia","Ethiopia","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",100,60,30,40,10,30,30,"Yes","app.current","fund.past",-90,40,30,0,-30
"Uruguay","Uruguay",2750,"Uruguay","Uruguay","Male","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",100,0,0,90,70,30,10,"Yes","fund.current","fund.past",70,90,0,20,-20
"Ethiopia","Ethiopia",2751,"Ethiopia","Ethiopia","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",100,80,20,60,40,40,20,"Yes","app.current","fund.past",-120,60,60,20,-20
"Uruguay","Uruguay",2756,"Uruguay","Uruguay","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,0,0,100,50,50,0,"Yes","fund.use.half.current","fund.past",50,100,0,50,-50
"Uruguay","Uruguay",2760,"Uruguay","Uruguay","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,0,0,90,60,40,10,"Yes","fund.current","fund.past",60,90,0,30,-30
"","Egypt",2765,"","Egypt","Female","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",110,45.4545454545455,27.2727272727273,36.3636363636364,45.4545454545455,45.4545454545455,36.3636363636364,"Yes","fund.current","fund.past",45.4545454545455,36.3636363636364,18.1818181818182,9.0909090909091,9.0909090909091
"Malaysia","Malaysia",2766,"Malaysia","Malaysia","Female","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,50,10,80,30,20,10,"Yes","app.current","fund.past",-70,80,40,10,-50
"Belgium","Uganda",2768,"Belgium","Uganda","Male","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities",40,30,20,20,30,10,0,"Yes","fund.current","fund.past",30,20,10,10,10
"Chile","Chile",2772,"Chile","Chile","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,30,40,50,50,20,10,"Yes","fund.current","fund.past",50,50,-10,10,0
"Uruguay","Uruguay",2773,"Uruguay","Uruguay","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,10,0,100,70,20,0,"Yes","fund.current","fund.past",70,100,10,20,-30
"Chile","Chile",2775,"Chile","Chile","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,20,20,50,60,20,30,"Yes","fund.current","fund.past",60,50,0,-10,10
"Uruguay","Uruguay",2778,"Uruguay","Uruguay","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,10,0,60,50,30,40,"Yes","fund.current","fund.past",50,60,10,-10,-10
"Arizona","Chile",2784,"United States","Chile","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science",100,30,0,70,40,30,30,"Yes","fund.current","fund.past",40,70,30,0,-30
"","India",2785,"","India","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",100,20,10,80,70,10,10,"Yes","fund.current","fund.past",70,80,10,0,-10
"Indonesia","India",2788,"Indonesia","India","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",200,30,35,30,25,25,35,"Yes","fund.current","fund.past",25,30,-5,-10,-5
"Uruguay","Uruguay",2789,"Uruguay","Uruguay","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",100,0,0,90,70,30,10,"Yes","fund.current","fund.past",70,90,0,20,-20
"Uruguay","Uruguay",2797,"Uruguay","Uruguay","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,50,20,80,50,0,0,"Yes","fund.app.half.current","fund.past",50,80,30,0,-30
"India","India",2799,"India","India","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",100,0,0,80,100,0,20,"Yes","fund.current","fund.past",100,80,0,-20,20
"India","India",2802,"India","India","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",100,40,80,0,20,40,20,"Yes","fund.current","app.past",20,-100,-40,20,20
"","India",2803,"","India","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,70,40,30,10,20,30,"Yes","app.current","fund.past",-90,30,30,-10,-20
"India","India",2805,"India","India","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,0,0,50,80,20,50,"Yes","fund.current","fund.use.half.past",80,50,0,-30,30
"India","India",2807,"India","India","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science",100,10,30,40,60,30,30,"Yes","fund.current","fund.past",60,40,-20,0,20
"Uruguay","Uruguay",2808,"Uruguay","Uruguay","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",100,20,30,0,0,80,70,"Yes","use.current","use.past",-100,-100,-10,10,0
"Uruguay","Uruguay",2809,"Uruguay","Uruguay","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",90,70,20,70,50,70,0,"Yes","use.current","fund.past",-140,70,50,70,-20
"India","India",2810,"India","India","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",50,10,10,30,60,30,10,"Yes","fund.current","fund.past",60,30,0,20,30
"India","India",2811,"India","India","Female","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,30,20,10,40,30,70,"Yes","fund.current","use.past",40,-90,10,-40,30
"India","India",2814,"India","India","Female","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,70,60,10,10,20,30,"Yes","app.current","app.past",-90,-90,10,-10,0
"India","India",2816,"India","India","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,30,40,0,10,60,60,"Yes","use.current","use.past",-90,-100,-10,0,10
"Indonesia","India",2817,"Indonesia","India","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",180,33.3333333333333,27.7777777777778,38.8888888888889,38.8888888888889,33.3333333333333,33.3333333333333,"Yes","fund.current","fund.past",38.8888888888889,38.8888888888889,5.5555555555555,0,0
"India","India",2818,"India","India","Female","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,50,20,30,10,40,50,"Yes","app.current","use.past",-90,-70,30,-10,-20
"India","India",2822,"India","India","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science",100,60,50,40,30,10,10,"Yes","app.current","app.past",-70,-60,10,0,-10
"Uruguay","Uruguay",2827,"Uruguay","Uruguay","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,0,0,70,50,50,30,"Yes","fund.use.half.current","fund.past",50,70,0,20,-20
"Uruguay","Uruguay",2828,"Uruguay","Uruguay","Female","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)",100,10,0,100,90,0,0,"Yes","fund.current","fund.past",90,100,10,0,-10
"Argentina","Argentina",2830,"Argentina","Argentina","Female","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,40,20,30,10,50,50,"Yes","use.current","use.past",-90,-70,20,0,-20
"Uruguay","Uruguay",2833,"Uruguay","Uruguay","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Other",100,20,0,80,60,20,20,"Yes","fund.current","fund.past",60,80,20,0,-20
"Uruguay","Uruguay",2834,"Uruguay","Uruguay","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",160,43.75,31.25,50,43.75,31.25,18.75,"Yes","fund.current","fund.past",43.75,50,12.5,12.5,-6.25
"Uruguay","Uruguay",2835,"Uruguay","Uruguay","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",100,0,0,100,60,40,0,"Yes","fund.current","fund.past",60,100,0,40,-40
"Uruguay","Uruguay",2837,"Uruguay","Uruguay","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",100,0,0,100,80,20,0,"Yes","fund.current","fund.past",80,100,0,20,-20
"Uruguay","Uruguay",2840,"Uruguay","Uruguay","Female","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,20,0,100,80,0,0,"Yes","fund.current","fund.past",80,100,20,0,-20
"","Uruguay",2841,"","Uruguay","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",110,9.09090909090909,18.1818181818182,36.3636363636364,45.4545454545455,36.3636363636364,45.4545454545455,"Yes","fund.current","fund.past",45.4545454545455,36.3636363636364,-9.09090909090911,-9.0909090909091,9.0909090909091
"Uruguay","Uruguay",2842,"Uruguay","Uruguay","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",100,20,0,100,80,0,0,"Yes","fund.current","fund.past",80,100,20,0,-20
"Uruguay","Uruguay",2844,"Uruguay","Uruguay","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,60,30,70,40,0,0,"Yes","app.current","fund.past",-60,70,30,0,-30
"Uruguay","Uruguay",2846,"Uruguay","Uruguay","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science",100,10,10,60,20,70,30,"Yes","use.current","fund.past",-80,60,0,40,-40
"","Uruguay",2847,"","Uruguay","Female","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science",100,0,0,100,80,20,0,"Yes","fund.current","fund.past",80,100,0,20,-20
"Uruguay","Uruguay",2848,"Uruguay","Uruguay","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,0,20,60,80,0,20,"Yes","fund.current","fund.past",80,60,-20,-20,20
"Uruguay","Uruguay",2849,"Uruguay","Uruguay","Female","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,70,0,100,30,0,0,"Yes","app.current","fund.past",-70,100,70,0,-70
"Uruguay","Uruguay",2850,"Uruguay","Uruguay","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,10,0,90,50,40,10,"Yes","fund.current","fund.past",50,90,10,30,-40
"Uruguay","Uruguay",2854,"Uruguay","Uruguay","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",110,54.5454545454545,27.2727272727273,9.09090909090909,0,36.3636363636364,63.6363636363636,"Yes","app.current","use.past",-90.9090909090909,-90.9090909090909,27.2727272727272,-27.2727272727272,-9.09090909090909
"Uruguay","Uruguay",2856,"Uruguay","","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",160,50,56.25,43.75,43.75,0,0,"Yes","app.current","app.past",-50,-56.25,-6.25,0,0
"Turkey","Turkey",2857,"Turkey","Turkey","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",100,70,0,90,30,0,10,"Yes","app.current","fund.past",-70,90,70,-10,-60
"","Cameroon",2867,"","Cameroon","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",100,20,10,90,80,50,0,"Yes","use.current","fund.past",-70,90,10,50,-10
"Uruguay","Uruguay",2868,"Uruguay","Uruguay","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",100,0,0,100,90,0,0,"Yes","fund.current","fund.past",90,100,0,0,-10
"Thailand","Thailand",2872,"Thailand","Thailand","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",100,80,50,50,20,0,0,"Yes","app.current","fund.app.half.past",-80,50,30,0,-30
"Thailand","Thailand",2873,"Thailand","","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",100,30,10,90,80,30,0,"Yes","fund.current","fund.past",80,90,20,30,-10
"Uruguay","Uruguay",2896,"Uruguay","Uruguay","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",90,10,0,90,90,0,0,"Yes","fund.current","fund.past",90,90,10,0,0
"","India",2897,"","India","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",120,41.6666666666667,33.3333333333333,58.3333333333333,66.6666666666667,16.6666666666667,8.33333333333333,"Yes","fund.current","fund.past",66.6666666666667,58.3333333333333,8.3333333333334,8.33333333333337,8.3333333333334
"India","India",2898,"India","India","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",250,36,36,32,32,24,32,"Yes","fund.current","fund.past",32,32,0,-8,0
"India","India",2915,"India","India","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,20,0,100,80,0,0,"Yes","fund.current","fund.past",80,100,20,0,-20
